5349	alba	262
3758	Albánec	1904
4144	Albánie	1480
4289	albánský	1328
5509	albatros	102
5448	Albatros	163
5510	Albee	101
4579	Albert	1032
5339	Alberto	272
5352	Albertville	259
4976	Albrecht	635
5408	Albrechtice	203
4689	Albrightová	922
1698	album	6483
5453	Alcatel	158
5492	Aldo	119
18	ale	366007
5484	ále	127
5458	alegorický	153
5402	alegorie	209
4879	alej	732
5436	Aleksander	175
5189	alela	422
3232	Alena	2568
5503	Alenáš	108
5351	Alenka	260
5128	alergický	483
5105	alergie	506
5454	alergik	157
576	alespoň	17964
3448	Aleš	2276
4565	Alex	1046
4685	Alexander	926
5191	alexandr	420
3762	Alexandr	1900
4793	Alexandra	818
5457	Alexandrie	154
5433	Alexandrovič	178
5459	Alexandrovna	152
5222	Alexej	389
5348	Alf	263
5118	alfa	493
4826	Alfa	785
5253	Alfons	358
4359	Alfréd	1255
4953	algoritmus	658
5413	alchymie	198
5444	alchymista	167
5354	Ali	257
5341	Alí	270
5457	Aliachem	154
1424	aliance	7944
5268	alias	343
5248	alibi	363
5460	alibismus	151
5470	alibistický	141
4649	Alice	962
5494	aligátor	117
5410	Alija	201
5494	Alijev	117
5477	alimenty	134
5492	Alinč	119
5281	Aljaška	330
5505	alkalický	106
5481	alkaloid	130
1949	alkohol	5472
4656	alkoholický	955
5028	alkoholik	583
5229	alkoholismus	382
5496	alkoholový	115
5160	All	451
5405	Alláh	206
5448	Allan	163
4491	Allen	1121
5367	Allgemeine	244
5409	Allianz	202
5419	almanach	192
5431	almužna	180
5421	alobal	190
5469	aloe	142
4019	Alois	1612
5378	alokace	233
5338	Alpa	273
5472	Alpha	139
4862	alpský	749
5022	Alpy	589
5417	Alšův	194
5495	alt	116
5434	Alt	177
5462	altán	149
5471	altánek	140
3007	alternativa	2911
3333	alternativní	2427
5510	Altman	101
5477	altruismus	134
5338	Alvar	273
4153	Alžběta	1471
5262	Alžír	349
4800	Alžírsko	811
4980	alžírský	631
5462	Alžířan	149
5210	am	401
5392	Amadeo	219
5455	Amadeus	156
5379	Amanda	232
4460	amatér	1152
5496	amatérsky	115
3680	amatérský	1997
5496	Amazonka	115
5503	amazonský	108
4629	ambasáda	982
3305	ambice	2467
4450	ambiciózní	1162
5469	ambit	142
5498	ambivalentní	113
5501	Ambrož	110
5100	ambulance	511
5103	ambulantní	508
5469	AMD	142
5493	Amelie	118
5206	amen	405
4746	amer	865
4965	American	646
192	americký	43001
1434	Američan	7836
4717	Američanka	894
5179	amerika	432
1246	Amerika	9113
5468	ametyst	143
5342	amfiteátr	269
5507	Amín	104
5111	aminokyselina	500
5340	Ammán	271
4703	amnestie	908
5375	Amnesty	236
5503	amoniak	108
5382	Amos	229
5484	Ámos	127
5465	amplión	146
5252	amplituda	359
5482	amplitudový	129
5348	amputace	263
5495	amputovat	116
5494	amsterdamský	117
4568	Amsterodam	1043
5491	amsterodamský	120
5330	AMU	281
5447	amulet	164
5246	an	365
5401	anabáze	210
5494	anabolický	117
5503	anabolikum	108
5485	anaerobní	126
5399	Anaheim	212
5477	anachronismus	134
5486	analgetikum	125
5439	analogicky	172
5240	analogický	371
5007	analogie	604
5048	analogový	563
5496	anály	115
5454	analyt	157
4563	analytický	1048
2912	analytik	3087
5507	analytika	104
1461	analýza	7690
5452	analyzovaný	159
4219	analyzovat	1401
5413	anamnéza	198
5362	ananas	249
5278	anarchie	333
5509	anarchismus	102
4943	anarchista	668
5397	anarchistický	214
5210	Anatolij	401
5410	anatomický	201
5296	anatomie	315
5230	ANC	381
5408	Anča	203
2920	and	3073
5495	Anda	116
3281	anděl	2495
5140	Anděl	471
5493	Anděla	118
5511	andělíček	100
5156	andělský	455
5425	Anderle	186
5442	Anderlecht	169
5408	Andersen	203
5295	Anderson	316
5491	Andersonová	120
5497	andílek	114
5369	Andre	242
5188	André	423
4363	Andrea	1251
5282	Andreas	329
4327	Andrej	1288
5193	Andrejevič	418
5510	Andrés	101
